Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,66.48925527
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,26024.699
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,21.30748467
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,130402.187
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,58.84319536
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,2401.885
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,44.27733071
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,65305.603
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,50.57537488
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,561.051
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,28.50257603
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,13351.547
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,2.83098434
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,14656.999
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,46.3496264
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,X1961,102213.958
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,X1961,NA
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1961,83.53460996
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,689.396
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,57.83782128
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,53695.881
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,49.85365533
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,98117.919
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,53695.881
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,18.65403068
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,207185.5
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,7.692629139
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,289.693
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,16.01404667
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,60054.459
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1962,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1962,66.49325703
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1962,22995.757
