Country.Name,Country.Code,Indicator.Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural methane emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Forest area (% of land area)
Afghanistan,AFG,AG.LND.FRST.ZS,X1966,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1967,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1968,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1969,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1970,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1971,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1972,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1973,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1974,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1975,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1976,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1977,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1978,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1979,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1980,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1981,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1982,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1983,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1984,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1985,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1986,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1987,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1988,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1989,NA,NA,NA,NA,NA
Afghanistan,AFG,AG.LND.FRST.ZS,X1990,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1991,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1992,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1993,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1994,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1995,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1996,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1997,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1998,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X1999,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2000,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2001,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2002,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2003,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2004,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2005,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2006,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2007,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2008,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2009,NA,NA,NA,NA,2.067824648
Afghanistan,AFG,AG.LND.FRST.ZS,X2010,NA,NA,NA,NA,2.067824648
