"Country.Name","Country.Code","Indicator.Code","Year","Agricultural land (% of land area)","CO2 emissions (kt)","Forest area (% of land area)"
"Afghanistan","AFG","AG.LND.FRST.ZS","X1965",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1966",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1967",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1968",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1969",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1970",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1971",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1972",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1973",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1974",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1975",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1976",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1977",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1978",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1979",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1980",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1981",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1982",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1983",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1984",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1985",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1986",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1987",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1988",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1989",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X1990",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1991",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1992",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1993",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1994",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1995",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1996",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1997",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1998",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X1999",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2000",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2001",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2002",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2003",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2004",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2005",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2006",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2007",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2008",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2009",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2010",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2011",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2012",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2013",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2014",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2015",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2016",NA,NA,2.067824648
"Afghanistan","AFG","AG.LND.FRST.ZS","X2017",NA,NA,NA
"Afghanistan","AFG","AG.LND.FRST.ZS","X2018",NA,NA,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1960",NA,414.371,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1961",NA,491.378,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1962",NA,689.396,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1963",NA,707.731,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1964",NA,839.743,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1965",NA,1008.425,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1966",NA,1092.766,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1967",NA,1283.45,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1968",NA,1224.778,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1969",NA,942.419,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1970",NA,1672.152,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1971",NA,1895.839,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1972",NA,1532.806,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1973",NA,1639.149,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1974",NA,1917.841,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1975",NA,2126.86,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1976",NA,1987.514,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1977",NA,2390.884,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1978",NA,2159.863,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1979",NA,2240.537,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1980",NA,1760.16,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1981",NA,1983.847,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1982",NA,2101.191,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1983",NA,2522.896,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1984",NA,2830.924,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1985",NA,3509.319,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1986",NA,3142.619,NA
"Afghanistan","AFG","EN.ATM.CO2E.KT","X1987",NA,3124.284,NA
